,Alt MAC,B cell,Cl MAC,Cl Mo,DCs cell,Int Mo,Mast cell,Neutrophils,NK cell,Non-Cl Mo,Tc,Th,T other,Treg
D096,0.0247779336138382,0.00280504908835905,0.266479663394109,0.0229079008882655,0,0.00794763908368396,0,0.60822814399252,0,0.0121552127162225,0.021505376344086,0.021505376344086,0.00514258999532492,0.00654511453950444
D097,0.0977491961414791,0.0263665594855305,0.197427652733119,0.0347266881028939,0.00514469453376206,0.0237942122186495,0.0469453376205788,0.0289389067524116,0.00128617363344051,0.0398713826366559,0.365916398713826,0.0842443729903537,0.0173633440514469,0.0302250803858521
D098,0.0384615384615385,0.189244383934649,0.129680054458816,0.0867937372362151,0.00544588155207624,0.0166780122532335,0.0258679373723622,0.0888359428182437,0.00578624914908101,0.015997277059224,0.100068073519401,0.270932607215793,0.0129339686861811,0.0132743362831858
D099,0.0324384787472036,0.00111856823266219,0.351230425055928,0.0648769574944072,0.00111856823266219,0.00782997762863535,0.00223713646532438,0.00782997762863535,0.00894854586129754,0.0100671140939597,0.196868008948546,0.220357941834452,0.0950782997762864,0
D100,0.0271084337349398,0.00301204819277108,0.401606425702811,0.252008032128514,0.00100401606425703,0.00401606425702811,0.0180722891566265,0.0240963855421687,0,0.00100401606425703,0.0612449799196787,0.144578313253012,0.0321285140562249,0.0301204819277108
D101,0.0127118644067797,0.00423728813559322,0.24364406779661,0,0,0,0.00847457627118644,0.101694915254237,0,0.0254237288135593,0.0953389830508475,0.353813559322034,0.154661016949153,0
D102,0.11587982832618,0,0.123032904148784,0.0386266094420601,0,0.0357653791130186,0.011444921316166,0.108726752503577,0.00715307582260372,0.144492131616595,0.125894134477825,0.197424892703863,0.0486409155937053,0.0429184549356223
D103,0.0924678505817514,0.0146968769136558,0.513778322106552,0.00796080832823025,0,0.00183710961420698,0.00122473974280465,0.146968769136558,0.0453153704837722,0.0122473974280465,0.0771586037966932,0.0545009185548071,0.0287813839559094,0.00306184935701163
D104,0.185953711093376,0.0295291300877893,0.232242617717478,0.0798084596967279,0.00239425379090184,0.00478850758180367,0.0391061452513966,0.0207501995211492,0.00239425379090184,0.00399042298483639,0.0726256983240224,0.293695131683958,0.028731045490822,0.00399042298483639
D105,0.104921579232017,0.00973499188750676,0.182260681449432,0.134667387777177,0,0.0237966468361276,0.00973499188750676,0.0118983234180638,0.00594916170903191,0.0254191454840454,0.266089778258518,0.172525689561925,0.0173066522444565,0.0356949702541915
D106,0.00409556313993174,0.24061433447099,0.221843003412969,0.0126279863481229,0.000341296928327645,0,0.0184300341296928,0.0170648464163823,0.00136518771331058,0.00750853242320819,0.104095563139932,0.319112627986348,0.0218430034129693,0.0310580204778157
D107,0.1725768321513,0.0384160756501182,0.145390070921986,0.119385342789598,0.0106382978723404,0.00118203309692671,0.0384160756501182,0.0147754137115839,0.0118203309692671,0.00354609929078014,0.267730496453901,0.155437352245863,0.0135933806146572,0.00709219858156028
D108,0.0573378839590444,0.0989761092150171,0.212286689419795,0.0286689419795222,0.0109215017064846,0.00409556313993174,0.0348122866894198,0.0402730375426621,0.00204778156996587,0.016382252559727,0.208873720136519,0.238225255972696,0.0197952218430034,0.0273037542662116
